tweet_id,text,created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count
1749657996723171460,#アスペルガー や #ギフテッド 、 #HSP ・ #繊細さん… https://t.co/H8fovP6D9Z,2024-01-23 04:59:08+00:00,1731262527353634816,1,0,0,0,0,46
1749657720112988623,ギフテッドとか、小学生で微積を理解してから言いなさい,2024-01-23 04:58:02+00:00,1744081332127629312,0,0,4,0,0,94
1749657266054406483,あこにほいちもうどの設定吐いてるか分からなくなったから言うけどイマジナリーフレンド持ちギフテッドです………………この癖の塊を動かしたい……………………,2024-01-23 04:56:13+00:00,1341900686762549249,0,0,1,0,0,114
1749656189774991613,ギフテッドって形を変えた選民思想だし、そのうち出エジプト記を書き出す,2024-01-23 04:51:57+00:00,1744081332127629312,0,0,2,0,0,77
1749653820400103932,"ギフテッドなので、少しエンジン吹かすと秒で追い抜いてしまう。退屈だ。
中学受験以降、どうも面白くない。早く仕事を辞めて囲碁に集中したい。",2024-01-23 04:42:32+00:00,1219538290606346242,0,0,0,0,0,37
1749653424633979042,無能だからギフテッドの気持ちは汲み取れんのやけど、とぐろっくが言うみたいにギフテッドも少数派には変わりないしそれなりに悩みがあるんかなあ,2024-01-23 04:40:58+00:00,1706651621462351872,0,0,1,0,0,76
1749651353608339756,"ホストやる！
(2時間後...)
やめた！海外行く

ギフテッドじゃなくてADHDだろ https://t.co/pCivJiWu5S",2024-01-23 04:32:44+00:00,1631636195146088449,0,1,0,0,0,87
1749648309592211685,私がマッシュルという作品のめちゃくちゃ好きなとこなんだけど、「神様からのギフテッドを当たり前のように持っていなくても、幸せや平穏を噛み締めていい、それでいい」が個々にあるとこなんだよな当たり前だけど、当たり前じゃないものを持ってるいい子たちしか出てこないんだな,2024-01-23 04:20:38+00:00,1707300680787169280,0,0,3,0,0,124
1749643923226763468,全額ギフテッドDAO（J-GTEA）に寄付します。 https://t.co/x1TCqvXedj #Mond_ashiberse,2024-01-23 04:03:12+00:00,1570396749604462592,0,0,0,0,0,190
1749643200053256392,何冊もあるので、直近で読み返しているものに絞って答えます。  本  ・習慣と脳の科学  ・ギフテッド応援ブック  ・能動的推論: 心、脳、行動の自由エネルギー原理  ・知覚力を磨く  ・臨床的作… https://t.co/NZ3uFKXmVG #Mond_ashiberse,2024-01-23 04:00:20+00:00,1570396749604462592,0,0,1,0,0,231
1749642058611269905,@love_Adilisia ギフテッド（誤った使い方）,2024-01-23 03:55:48+00:00,378816271,0,1,1,0,0,86
1749640844045599215,なんか、ギフテッド系の感覚過敏の困りごとって素の感覚過敏ではなくてフォーカスを当てる強さ由来なんだろうなぁなんてちょっと思った,2024-01-23 03:50:58+00:00,1586525994470367233,0,0,0,0,0,103
