,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18,Factor19,Factor20,Factor21,Factor22,Factor23,Factor24
46　 イライラした時はそれについて人に話す。,-0.4043267937692359,0.2785998952652361,0.20264272899905336,0.08335979187098146,-0.11312098981418534,-0.11781402462704507,-0.035837825892295894,0.06984572750396704,0.014352688878280983,-0.0630060418306188,0.02254017272905346,0.00858812628754945,-0.05511753259779186,0.09490351677572058,-0.10267476851059025,0.09176499830223968,-0.015150282022512887,0.07158546038004461,0.06107132978107474,0.06853591702986453,0.024633191908236245,0.11787732295561013,-0.00809079503330582,0.12842389880485028
47　 危険な状況に直面すると震えが止まらない。,-0.1489697212226245,-0.04530816223562254,0.4610716558142645,-0.0850037592282717,0.01016652000826287,0.047133181303071724,-0.047446377643576655,-0.03788824565587602,-0.13786094063792678,0.00753587683634687,0.04127970193225298,0.039478010758068394,-0.0943205823874726,0.1340784752208574,-0.0024008117791597086,-0.03206143864672615,-0.18130920039065437,0.12770806027625364,-0.13681494001524397,0.11824974739998768,0.07398658063298348,0.01364149343461733,-0.11400030683284564,-0.08646062062726569
48　 人を感心させるためにわざと演技をする。,0.015830092181879286,-0.057187071410345104,-0.0919230007734026,-0.11049619602878276,-0.08192840049190502,-0.03611640429154046,0.08407874824302407,0.12521986912778676,0.6449865820575535,0.05136599721659485,0.0674860699622101,-0.02482131809473381,-0.11797539981778149,-0.019306717058162143,0.01909509674795187,0.08165000698154404,0.050271690120160556,-0.05844553909478359,0.02001656553753148,0.07109353462987018,-0.038702917169965816,-0.004081018112420862,0.05492141729157861,-0.05978144425781205
1　 保守的で堅実な人だと思われることを好む。,-0.010294086136763107,0.08809040082995868,-0.1044720296681097,0.16784946406424062,-0.18147129844530857,0.0931143291599391,-0.17058149661096575,-0.1456756049851505,0.17351453555158694,0.09443543075064802,-0.1434612145349766,-0.003903809983137,0.12805640348665157,-0.17542042993125137,0.07358603666436005,0.042031074721493485,0.28235089321751355,-0.1363041464558492,-0.03367862993969192,-0.06510100090712505,-0.0066222264529107785,-0.12859927785038772,0.0375111656387026,0.013376678998873699
2　 うっかりミスをすることがある。,0.1962074604967683,-0.03561787805436437,-0.3607326949951799,-0.02323462056812199,0.04919958387014268,-0.021892397408484008,0.3889266481982165,-0.11404151582479491,0.12926189259988355,-0.11982794750770513,0.12070176907623854,-0.07637442941807494,0.10210919983283397,0.022857639757386042,0.11722015067806543,0.1371686943547958,-0.03591511214222916,-0.016930586397218665,-0.012729340701379387,-0.08981587574152033,-0.06566396265090209,-0.12383128879497317,-0.0983886928273804,0.03281040344962148
3　 ちょっとしたことでもすぐに怒りがこみ上げる。,0.77306067566305,0.08076631659209184,-0.1475323763780134,0.05656978224481326,-0.05898642247194039,0.0801205426518239,0.11367769921726338,0.06084260812635742,0.08459303675402646,0.02466803349282238,0.04078719212765783,0.006517199831589346,-0.03903969961210967,-0.094498954648707,0.05760359540813626,-0.011221798780348641,0.116991260492697,-0.0032107665074933836,-0.07239852426246643,0.11803702282566912,0.02470128569835272,-0.014749788882022954,0.11966692388046875,0.05004416773684562
4　 たくさん楽しむことができる。,0.022306437632612728,0.49136292415589944,0.002288705733434673,0.14397561602295217,0.006297262515489373,0.04661853374792903,-0.0724012185056229,0.15023748468364445,-0.10353829134297679,-0.02283382794521793,0.026225031490781116,0.08025340980180612,-0.053145948061309255,-0.09676128253989932,0.01729472786731312,0.011496286454385647,-0.03013350172979744,0.22941875883653676,0.01962226406378573,0.09021593487305025,0.29794107458171604,0.04245626099447209,0.01828004920131989,-0.006826579890967164
5　 見知らぬ人の苦しみが目に入っても、ほとんど気にしない。,0.09517696951306324,0.10192742947445227,0.353327940942876,0.07716398437007566,0.11439794349789698,0.1369014128526729,-0.03728950408107356,0.2482943393111619,0.05217643135852011,0.05571742530966388,-0.010270197877372182,0.2498209760583106,0.008568449433571289,-0.03248787676547679,0.2005587078223133,0.0856432290045101,0.18538543562861484,0.024435961799651726,-0.020892892240249712,0.05638096485994914,-0.0126415722381382,-0.0415761683254989,-0.14780928978884325,-0.09921669125427059
6　 自分は普通の人よりも能力が高いと思う。,0.06325873416918651,-0.25480094987330604,0.13769880655181846,-0.36731266674640317,-0.10918338650436209,0.0048762004696102255,-0.17368071325958545,0.20529993279931244,0.1144818323163622,0.34170396802404923,0.012431073873891786,0.0924470235559971,-0.11550907982131778,0.06240376746722747,-0.02057839836520027,0.004603761956016005,0.09082030509096654,-0.20025677997618851,-0.11082037342758952,-0.037938165585880326,-0.034143539472846006,-0.21189492190109402,-0.04071508087446046,0.022452028582436324
7　 他人が奇妙だと思うことをする。,-0.15892254290093166,-0.0573229344564,0.019238179931100007,0.24863788882145055,0.020268352303052264,0.24282360232704675,-0.291889328648059,-0.2911887539768046,-0.13522727832031745,-0.02587251683799386,-0.07201202620411616,-0.08503822453787621,0.12294444762847682,0.07163947217670928,-0.2687818901731383,-0.08116141557121076,-0.05036015334083189,0.06935196179605478,0.0993172592825054,-0.03710656817438007,0.03871059068053045,-0.1283425931085784,0.0015276802147883828,0.14243530934286802
