id,status,plan,scale,login_status,inbound,taishu_tenpyo,cnt_brand,cnt_cp,cp_brand,cnt_store,avg_store_info,media_library,cnt_category,bt_resto,bt_retail,bt_hotel,bt_salon,bt_activity,bt_other,rev,rev_posi,rev_nega,rev_mix,rev_none,rev_avg_comment,rev_avg_rate,rev_avg_uuser,lang_ja,lang_en,lang_ko,lang_ch_han,lang_ch_kan,lang_thai,lang_other,st_google,st_trip_advisor,st_tabelog,st_retty,st_hot_pepper_gourmet,st_gnavi,st_hot_pepper_beauty,st_yahoo_loco,st_asoview,st_demaecan,st_ikyu,st_ozmall,st_tribeau,st_clinic,q_pos,q_neg,q_neu,s_pos,s_neg,s_neu,c_pos,c_neg,c_neu,a_pos,a_neg,a_neu,un_pos,un_neg,un_neu,photo,rep,rep_posi,rep_nega,rep_mix,rep_none,rep_avg_comment,rep_avg_rate,rep_avg_uuser,weekly,monthly,wday_index,now,scheduled,tw,fb,in,web,call,direction,pv_search_pc,pv_map_pc,pv_search_sp,pv_map_sp,chat,booking,orders,search,search_per_keyword,cnt_keywords,post_total,post_sns,reaction,pv_total
14588,low_touch,growth,medium,1日以内,0,0,1,0,0,20,131,71,1,1,0,0,0,0,0,346,104,42,19,165,59,4,2,0,0,0,0,0,0,0,309,1,14,3,0,1,0,18,0,0,0,0,0,0,118,42,4,41,58,1,3,3,0,21,3,0,168,93,55,926,314,85,34,14,171,52,4,1,539,0,0,3,6,0,0,0,91886,108086,70246,196270,38172,2340961,1100906,0,0,0,82999,734202,1920270,548,0,270218,3676309
13204,low_touch,growth,larger,1日以内,1,0,4,0,0,173,203,15,2,4,0,0,0,0,0,13998,4100,1738,1072,6150,73,4,2,7034,506,247,90,25,8,93,9023,35,1626,178,13,0,0,781,0,2342,0,0,0,0,5913,2630,336,1448,1931,18,34,94,2,318,167,10,7577,3424,2566,67152,15780,4186,2118,1188,7403,48,4,4,0,0,26,60,1,0,0,0,843640,260411,1168068,5149446,1302102,38411542,28606942,9,60,0,49451,285465,850819,87,0,2272119,73470032
21287,tech_touch,growth,small,1日以内,0,0,2,0,0,3,0,51,1,0,0,2,0,0,0,474,166,24,38,232,114,4,9,148,2,1,1,0,0,1,455,4,0,0,0,0,0,15,0,0,0,0,0,0,124,24,4,82,60,1,30,35,0,67,16,3,671,175,71,5134,0,0,0,0,0,0,0,0,0,10,2,42,7,0,0,0,134976,16115,150019,182417,451320,1192671,1484000,0,0,0,34436,90902,319557,61,0,301110,3310408
34521,high_touch,enterprise,medium,1日以内,1,0,3,15,10,15,235,3,2,3,0,0,0,0,0,5132,3537,161,293,1021,166,4,10,1325,1792,456,307,53,64,115,4175,124,707,26,5,0,0,15,0,0,7,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9820,6341,4052,196,352,1616,128,4,9,186,0,29,26,29,0,38,33,202987,79756,364904,1208644,330948,5277266,5137649,645,43388,10,52068,329682,805044,270,71,647647,11954507
20692,tech_touch,growth,medium,3日以内,0,0,1,0,0,12,18,2,1,1,0,0,0,0,0,1458,565,96,136,558,97,4,6,0,0,0,0,0,0,0,1096,0,305,22,1,0,0,11,0,23,0,0,0,0,943,158,70,137,128,4,1,2,0,42,11,1,1257,245,568,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7169,0,6783,16100,3170,97975,65564,0,0,0,55680,232357,822922,0,0,13952,182809
11848,low_touch,growth,medium,1日以内,0,0,6,0,0,34,385,115,8,6,0,0,0,0,0,2772,1139,266,255,1001,80,4,3,0,0,0,0,0,0,0,1958,2,484,27,200,0,0,99,0,0,2,0,0,0,1914,602,112,443,472,12,8,44,0,184,74,3,2192,768,734,7987,5044,1584,351,394,2545,41,4,4,2218,184,0,131,103,0,0,0,195701,54333,190500,675858,159308,5109825,3963782,10,643,0,1364079,1264741,4466078,2636,0,440534,9908773
14656,tech_touch,small,medium,1日以内,0,0,7,0,0,19,111,30,5,7,0,0,0,0,0,1064,429,165,100,293,103,3,2,0,0,0,0,0,0,0,668,0,154,6,174,0,0,45,0,17,0,0,0,0,649,203,67,108,356,2,2,7,0,55,16,0,623,403,406,3079,149,59,51,25,5,152,3,1,142,0,0,8,2,0,0,0,107469,37190,101050,467931,142369,5906312,3739949,0,67,0,92571,407752,818404,152,0,245709,10256561
13203,tech_touch,small,medium,1日以内,0,0,3,0,0,13,222,3,4,3,0,0,0,0,0,1266,517,244,148,319,112,3,4,626,168,30,81,13,2,39,1047,6,117,4,29,0,0,57,0,0,6,0,0,0,736,299,47,282,578,2,5,23,0,97,29,1,798,496,222,3802,600,64,292,71,153,136,2,2,0,0,0,15,14,29,28,28,204283,92847,184608,469009,137145,4445736,4187076,0,8366,0,406768,853889,1964775,29,85,481738,9238966
36107,low_touch,growth,larger,1日以内,0,0,1,0,0,114,255,13,3,0,0,0,1,0,0,1883,537,329,139,775,49,3,2,0,0,0,0,0,0,0,1790,0,0,0,0,0,0,93,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,3,8,3,563,1,1,0,0,0,26,4,1,0,0,0,12,26,0,0,0,117234,38037,148179,218151,92367,2207324,1410981,0,0,0,95881,406334,902691,38,0,303450,3928823
23926,low_touch,growth,large,1日以内,0,0,8,0,0,61,78,11,4,7,0,0,0,1,0,2526,1052,246,193,888,57,4,2,0,0,0,0,0,0,0,1866,7,55,2,56,0,0,540,0,0,0,0,0,0,226,91,10,606,269,0,48,39,0,86,17,1,1816,663,618,6271,931,353,89,73,381,60,4,3,0,0,0,32,19,0,0,0,298935,389119,331567,556404,133164,5367599,2692557,1,2369,0,130498,550902,2060377,51,0,1019621,8749724
